ctxkey,pattern,histlen,pc,bw,bctx
5660,327283718,6,19003807,2,19003616
8653,255524870,6,18678494,2,18678097
13678,476887066,26,21903460,2,22110132
2713,3816466,18,21902951,2,22214847
15041,128669702,6,28466387,2,22268987
10803,65641488,16,22214273,2,25939921
15135,63547402,10,21809022,2,25939921
15471,150129670,6,22238422,2,28455855
2096,452569094,6,21809634,2,21809522
13906,437458966,22,21891762,2,21883376
5611,216311824,16,18870307,2,19003857
13804,415824905,9,30508100,2,30508088
1006,456388632,24,28461258,2,22110086
7970,75057158,6,22208444,2,22208646
10803,371547150,14,21903104,2,25939921
2262,328417306,26,21997266,2,26000194
7970,108629005,13,22208455,2,22208646
7970,489519117,13,22208444,2,22208646
907,385169427,19,28466077,2,28466045
14669,371224585,9,21774415,2,32514133
8122,456789002,10,22208455,2,22208646
6708,241400838,6,21774343,2,21904588
5422,305237002,10,22053815,2,18494598
2549,218568736,32,21891479,2,21884547
10912,123909141,21,28461349,2,21910956
6051,532200454,6,21916860,2,18479215
7970,357755910,6,22208515,2,22208646
9396,19542026,10,20983714,2,20767664
389,89843738,26,21774461,2,22279709
15995,417204252,28,22079646,2,21902733
9317,271433748,20,21850628,2,21850209
5490,194016282,26,21964257,64,22247661
7970,248182802,18,22208444,2,22208646
6217,10682374,6,21774764,2,20766605
10912,338184198,6,28461291,2,21910956
10803,124701710,14,22214894,2,25939921
15279,515261458,18,22208528,2,28455553
15758,101207046,6,21916860,2,18446488
4296,410678278,6,25944577,2,18490466
14149,420255772,28,21965822,2,22079719
4296,178360326,6,25944598,2,18490466
11360,335043593,9,22142231,2,25940180
9847,46169094,6,18489580,2,18489541
10584,499716113,17,22228215,2,61700112
5512,391297030,6,22098809,2,22098794
16370,285921286,6,22142231,2,22142554
8929,153783302,6,20766617,2,18479265
16142,380235778,2,22210371,2,22264564
9074,377091082,10,22034601,2,18490104
2689,120784914,18,21902951,2,22214847
10774,76308498,18,18749852,2,61699856
155,130711562,10,18479011,2,20767897
2434,12605460,20,21903507,2,21903594
15471,6894601,9,22238405,2,28455855
7706,461930513,17,21774396,2,22279620
11298,263829517,13,26136979,2,25956118
10930,387782670,14,21883421,2,21872640
748,442710033,17,21971913,2,21972336
14199,524159008,32,22062888,2,22064429
2251,67300361,9,21809284,2,18577429
7969,39557126,6,21907565,2,25939921
3538,197834766,14,21774415,2,22225294
3479,380866566,6,27260873,2,21904253
