ctxkey,pattern,histlen,pc,bw,bctx
3748,58866698,10,18446744071586062141,2,18446744071586050974
9749,287917062,6,140323041630574,2,140322915213861
5266,284948486,6,140323396795816,2,140323396806794
16230,523449353,9,18446744071579358318,2,18446744071579370956
12639,424132624,16,18446744071579338916,2,18446744071578989895
5797,36267018,10,18446744071579371097,2,18446744071579360557
12456,437878793,9,140323396592062,2,140323398799304
2882,462432262,6,18446744071578999524,2,18446744071578858382
8907,62465043,19,18446744071579334887,2,18446744071586904789
9472,288468994,2,18446744071586016266,2,18446744071586015754
11443,148439049,9,18446744071586017282,2,18446744071586017129
5252,168351750,6,18446744071585160999,2,18446744071589333584
16131,39573513,9,18446744071580505760,2,18446744071580505737
10965,243835914,10,140323396493399,2,140323396493309
10059,448427014,6,18446744071586063068,2,18446744071581810309
14263,135269382,6,18446744071585216592,2,18446744071585240181
2308,176547861,21,18446744071579371543,64,18446744071579370060
12081,409700384,32,140323396279069,2,140323389200825
6888,530287625,9,18446744071579359652,2,18446744071579358354
14448,501385225,9,18446744071579380023,2,18446744071579368600
11443,495143945,9,18446744071586017296,2,18446744071586017129
8966,332619808,32,140323396592107,2,140323408119782
2105,126521350,6,140323391309480,2,140323398225421
8453,346778630,6,18446744071585164077,2,18446744071586003037
3471,68783110,6,18446744071579359637,2,18446744071579370437
3195,4211718,6,18446744071579372694,2,18446744071579368399
11647,149481478,6,18446744071585216831,2,18446744071585947677
3266,193035270,6,18446744071586390111,2,18446744071585118864
1067,387663881,9,18446744071580408428,2,18446744071580402587
9876,77716489,9,18446744071582320753,2,18446744071586905468
2053,336104458,10,18446744071578860268,2,18446744071586904797
2510,382213126,6,140323396802056,2,140323396803490
16146,342422537,9,18446744071579096845,2,18446744071589333584
4910,526098442,10,18446744071579368540,2,18446744071579369834
10351,11026441,9,18446744071579369527,2,18446744071579339005
3749,465522702,14,18446744071579360614,2,18446744071579373219
12493,518711305,9,18446744071585244805,2,18446744071585240305
6904,168031238,6,18446744071585608510,2,18446744071585581384
896,383848457,9,18446744071585353245,2,18446744071579996234
14339,506180618,10,18446744071585238850,2,18446744071585206753
11255,354153478,6,18446744071585931702,2,18446744071585930265
886,250247177,9,18446744071585606079,2,18446744071586915758
