ctxkey,pattern,histlen,pc,bw,bctx
115,531210246,6,140440759183494,2,140440759183337
12606,345512972,12,140440759458342,2,140440758997210
115,231334918,6,140440759183436,2,140440759183337
115,497941518,14,140440759183494,2,140440759183337
115,137070609,17,140440759183494,2,140440759183337
12606,536433673,9,140440759458430,2,140440758997210
8164,56704017,17,18446744071579360103,2,18446744071579372682
15864,19286034,18,140440759458352,64,140440758983825
8164,423693323,11,18446744071579360103,2,18446744071579372682
8164,163206159,15,18446744071579360103,2,18446744071579372682
8164,505518090,10,18446744071579360113,2,18446744071579372682
8164,363415561,9,18446744071586840587,2,18446744071579372682
12606,164643856,16,140440759458342,2,140440758997210
2662,64975891,19,18446744071579412443,64,18446744071586841911
4624,220298249,9,140440760219106,2,140440760224588
4624,291090441,9,140440760219057,2,140440760224588
4675,406349834,10,140440403133654,2,140440290326115
6167,397361165,13,140440764507404,2,140440759743031
3998,152826891,11,140440404410306,2,140440402141372
14299,361913353,9,140440402366968,64,140440404446835
4547,413406223,15,140440399405121,64,140440404611640
4547,28407814,6,140440399404976,64,140440404611640
112,323651596,12,140440758961590,2,140440758950076
112,130580486,6,140440758961590,2,140440758950076
13037,494155797,21,140440284308485,2,140440400262547
14299,531147789,13,140440402366959,64,140440404446835
3998,322663433,9,140440400668852,2,140440402141372
14299,237558800,16,140440402362690,64,140440404446835
13037,195222530,2,18446744071586001876,2,18446744071586033427
4547,458941472,32,140440399404976,64,140440404611640
5565,463263758,14,18446744071580274237,2,18446744071580274291
5565,400579600,16,18446744071580274221,2,18446744071580274291
5565,218110989,13,18446744071580274221,2,18446744071580274291
2196,492683277,13,140440399555650,64,140440399555607
5565,352957446,6,18446744071586840072,2,18446744071580274291
5565,157888531,19,18446744071580274221,2,18446744071580274291
8506,271724554,10,18446744071580229876,2,18446744071579688872
6972,16861195,11,18446744071580275327,2,18446744071579148340
715,376201238,22,18446744071580275181,2,18446744071580124519
764,208832531,19,140440758986965,2,140440758991792
43,143841286,6,140440403395360,2,140440270497601
6972,524421136,16,18446744071580275327,2,18446744071579148340
6972,506100746,10,18446744071579144601,2,18446744071579148340
8352,130200595,19,140440400469056,2,140440271411054
43,99218444,12,140440277806354,2,140440270472127
764,408134674,18,140440758986965,2,140440758991792
13435,51639308,12,140440758950084,2,140440759004735
3247,451221532,28,18446744071579499246,2,18446744071579402895
13727,203986958,14,140440270671914,64,140440270671896
6972,407588884,20,18446744071579144601,2,18446744071579148340
12458,290074645,21,140440759133775,2,140440759133708
3247,337376270,14,18446744071579499228,2,18446744071579402895
6972,273451022,14,18446744071580275337,2,18446744071579148340
764,9297934,14,140440758986965,2,140440758991792
7010,299599882,10,140440759332785,64,140440759333468
7010,354990092,12,140440759332647,64,140440759333468
7010,121296905,9,140440759332667,64,140440759333468
2290,356200458,10,140440290201012,2,140440280948108
1802,425393154,2,140440270483703,2,140440270470888
8746,268037129,9,18446744071579412925,2,18446744071579414106
1802,120847369,9,140440270477228,2,140440270470888
1802,475586573,13,140440270477228,2,140440270470888
1802,324242442,10,140440270488580,2,140440270470888
15886,112265240,24,140440759310453,2,140440759314870
15886,351352856,24,140440759310453,2,140440759314870
15886,366117909,21,140440759310413,2,140440759314870
1802,264915974,6,140440270487524,2,140440270470888
580,202261532,28,140440759003559,64,140440758983697
8746,266448905,9,18446744071579412868,2,18446744071579414106
299,318882836,20,140440767167742,2,140440759757579
10215,340830218,10,140440773549072,2,140440765599259
2802,300906516,20,18446744071579338848,2,18446744071586915742
580,255863819,11,140440759310202,2,140440759277102
5180,482790436,36,140440403134589,64,140440402157963
10215,37138448,16,140440773548918,2,140440765599259
580,368850959,15,140440759282024,2,140440759277102
2802,372699149,13,18446744071579338848,2,18446744071586915742
1802,67942414,14,140440271412476,2,140440270470888
14299,24213514,10,140440402364724,64,140440404446835
13037,356254746,26,140440284308485,2,140440400262547
2464,521028640,32,140440399932479,64,140440404383309
10406,80781314,2,18446744071579369543,2,18446744071589333584
10406,468503578,26,18446744071579361870,2,18446744071589333584
10406,215191563,11,18446744071579361870,2,18446744071589333584
15442,328357912,24,18446744071579362072,64,18446744071579343845
299,435779604,20,140440767167742,2,140440759757579
299,185331733,21,140440767167742,2,140440759757579
15442,405431332,36,18446744071579362072,64,18446744071579343845
15442,468456484,36,18446744071579362072,64,18446744071579343845
2290,268554250,10,140440290200985,2,140440280948108
5180,399549468,28,140440403134589,64,140440402157963
14301,34491407,15,18446744071579360609,64,18446744071579360426
1802,181961738,10,140440399802957,2,140440270470888
1802,465799177,9,140440270485837,2,140440270470888
13496,82124818,18,140440765596420,2,140440756842336
4547,378073105,17,140440399404976,64,140440404611640
10406,138567689,9,18446744071579361885,2,18446744071589333584
6498,404021280,32,140440402304621,2,140440779004836
11532,430042121,9,140440270477228,2,140440270488934
11532,167627808,32,18446744071580176819,2,18446744071580175898
11532,515674127,15,18446744071580176819,2,18446744071580175898
7778,152467480,24,140440400640129,64,140440399932883
7778,111915040,32,140440400640129,64,140440399932883
7778,283534364,28,140440400640129,64,140440399932883
7778,379495456,32,140440400640129,64,140440399932883
7778,102443036,28,140440400640129,64,140440399932883
3921,268451849,9,140440759287858,2,140440759295083
9170,353253400,24,140440401822743,64,140440400184723
15764,375641094,6,140440277779326,2,140440286402996
12284,315094033,17,140440759292721,2,140440759322914
1731,218889225,9,140440759757889,2,140440759749091
12073,180499462,6,140440276402533,2,140440759409187
12284,520441872,16,140440759292721,2,140440759322914
6220,88929308,28,140440402469643,2,140440271410794
7778,299099168,32,140440400640129,64,140440399932883
1731,150300685,13,140440759757827,2,140440759749091
1731,500743174,6,140440759763941,2,140440759749091
3921,487885838,14,140440759287858,2,140440759295083
3871,452162576,16,140440290500862,2,140440290500337
146,213490690,2,140440758889560,2,140440759457724
3871,212551694,14,140440763203708,64,140440404329355
14104,508353554,18,140440401929114,64,140440270672662
2317,346232841,9,18446744071579412443,2,18446744071579361535
7599,63995910,6,140440276281209,64,140440279011432
2121,469362698,10,140440270481641,2,140440286997609
9253,482976777,9,18446744071582316863,64,18446744071582308912
7073,71179280,16,140440284133347,2,140440400647855
14104,213504015,15,140440401929114,64,140440270672662
12284,258558989,13,140440759292721,2,140440759322914
14089,36810758,6,18446744071585991703,2,18446744071585915849
10263,489711626,10,140440758881265,2,140440759707293
15488,420411416,24,140440759294076,2,140440759294224
2317,512435209,9,140440286711581,64,140440402459731
3921,412271622,6,140440759287885,2,140440759295083
1510,372096024,24,140440759133210,2,140440759215968
12485,366715920,16,18446744071580543702,64,18446744071580939291
16019,143397902,14,140440401972878,64,140440733187349
7594,240918542,14,18446744071586040887,64,18446744071579530623
5454,13742086,6,140440759328005,2,140440758840354
3704,149524490,10,140440403737800,2,140440403737294
1961,227664922,26,140440403134593,64,140440402157963
7585,19610634,10,140440290673176,2,140440400863487
5371,151675936,32,18446744071579495718,2,18446744071579495591
3737,299136026,26,140440773548772,64,140440773112147
14032,56395802,26,18446744071579495718,2,18446744071579498736
3498,280624150,22,140440402527949,64,140440403243994
15623,514909194,10,140440399229368,2,140440399549693
8441,228238350,14,140440768081892,2,140440760125817
10794,352359436,12,140440764511274,2,140440762377836
9065,277288976,16,140440759357515,2,140440758326919
3515,219778074,26,18446744071579360113,64,18446744071579368612
540,189074464,32,18446744071585983828,2,18446744071585989352
2533,427538441,9,140440763192464,2,140440270637853
540,508460056,24,18446744071585983828,2,18446744071585989352
7594,535390227,19,140440773397855,2,140440773194942
7594,292705290,10,140440773397736,2,140440773194942
9331,178441228,12,140440759001891,64,140440783429582
12073,82880521,9,140440767202036,2,140440767201589
12284,179693584,16,140440759291504,2,140440759322914
9139,279542790,6,140440401904799,2,140440401846109
2533,329331725,13,140440270488580,2,140440270637853
5865,240881696,32,140440400640129,64,140440399932883
1961,517426192,16,140440403134589,64,140440402157963
10459,407581707,11,140440399555314,64,140440403421135
1961,211159064,24,140440403134589,64,140440402157963
