ctxkey,pattern,histlen,pc,bw,bctx
439,98580496,16,140116308162356,2,140116306620331
7164,472487952,16,140116300594146,2,140116308161686
1936,188788738,2,18446744071578859894,2,18446744072100418384
4280,46104590,14,140115932521967,2,140115928954238
13448,285414406,6,140115800344076,2,140115800344494
10584,169117713,17,140115932510102,2,140115800344494
6863,118453262,14,140115929665314,2,140115929414451
12693,165641234,18,140116300689321,2,140116300689267
11888,357031951,15,140115930514273,2,140115800053782
8576,335112198,6,18446744071579097112,2,18446744071579327278
11597,113439760,16,140115932863783,2,140115800298635
389,212535302,6,18446744071579148648,2,18446744071579148633
3764,403240988,28,140115929362481,2,140115929362142
1840,118128653,13,140115929186088,2,140115800344494
8525,42147846,6,140115800053441,2,140115932864037
12222,6516742,6,18446744071586904376,2,18446744071579368102
15911,441574410,10,18446744071585137979,2,18446744071585137967
14380,331115546,26,140116307155227,2,140116307154916
1049,8567818,10,18446744071579343920,2,18446744071579421145
8370,363134996,20,140116301855306,2,140116313966590
10305,212362250,10,140116308666495,2,140116300124007
15276,238776333,13,140116302683649,2,140116308161104
1142,92534810,26,140116302037407,2,140116302037394
563,438737933,13,140115930313344,2,140115932563189
389,373884934,6,18446744071579148734,2,18446744071579148633
9981,119713824,32,140116302080509,64,140116302081031
12693,392571926,22,140116300689299,2,140116300689267
9981,506491920,16,140116302080509,64,140116302081031
7418,324222982,6,18446744071586904044,2,18446744071578990196
5066,371093522,18,140116313982386,2,140116301851696
2882,106995721,9,18446744071578999524,2,18446744071578858382
13298,168708111,15,18446744071586878736,2,18446744071580246230
3891,93484047,15,140116308161694,2,140116308162475
14956,87521298,18,140116302087194,2,140116302022384
10230,489721858,2,140116307151952,2,140116300542262
4159,508679185,17,140116302069988,2,140116302070409
9100,79909898,10,18446744071579372999,2,18446744071579373296
10578,200405001,9,140116300225919,2,140116297400160
8596,186189830,6,18446744071586909868,2,18446744071586905468
14919,364938252,12,140116302104239,2,140116302083165
8370,417564700,28,140116301855306,2,140116313966590
9308,232833035,11,18446744071579343920,2,18446744071579343924
14919,484582419,19,140116302104287,2,140116302083165
2616,45843465,9,18446744071579412443,2,18446744071579369834
14560,148457481,9,18446744071579369876,2,18446744071579413318
14919,15626255,15,140116302104239,2,140116302083165
563,340942864,16,140115930313201,2,140115932563189
6035,71327754,10,140116300818200,2,140116306620261
14560,103480326,6,18446744071579369876,2,18446744071579413318
13403,530440209,17,140116308599608,2,140116306735479
5054,45390874,26,140116319533816,2,140116306558626
4712,337647626,10,140116306264847,2,140116297400368
4712,207971342,14,140116306264847,2,140116297400368
4712,448116749,13,140116306264810,2,140116297400368
4712,248671241,9,140116306264810,2,140116297400368
8596,349913094,6,18446744071586909847,2,18446744071586905468
1936,182599682,2,18446744071578860028,2,18446744072100418384
7447,58615828,20,140116305102497,2,140116306629867
10912,525190160,16,140115932509954,2,140115800344494
1142,465685520,16,140116302037407,2,140116302037394
7641,265488390,6,18446744071586043953,2,18446744071579421145
7738,344035338,10,140116307472190,2,140116300823222
5088,194850830,14,140116300123851,2,140116300123956
12630,461899787,11,140116302037836,2,140116302085710
1142,478603281,17,140116302037407,2,140116302037394
14433,23177231,15,140116300591844,2,140116302683741
12693,222532630,22,140116300689321,2,140116300689267
607,419310616,24,140116302085978,2,140116302087327
4184,495988747,11,140115930248646,2,140115932887286
13676,400183302,6,18446744071580264503,2,18446744071580249334
8370,169943066,26,140116301855306,2,140116313966590
1142,467912720,16,140116302037407,2,140116302037394
16209,450500610,2,18446744071578954692,2,18446744071578954459
12156,510327817,9,18446744071580403563,2,18446744071580403432
13438,93961232,16,140115933623869,2,140115933605006
1387,443589658,26,140115932920525,2,140115929362485
7198,63108102,6,18446744071585947909,2,18446744071579996116
2219,195798026,10,18446744071585206884,2,18446744071585216633
4868,49413133,13,18446744071585930520,2,18446744071585216464
3867,96482310,6,18446744071585852516,2,18446744071585554577
3245,458935306,10,18446744071585236059,2,18446744071585940641
70,437917705,9,18446744071585236812,2,18446744071585223044
9358,220739594,10,18446744071585220594,2,18446744071585220412
806,165340166,6,18446744071585950216,2,18446744071589333584
1869,374459402,10,18446744071585930808,2,18446744071585932135
14339,455117833,9,18446744071585238983,2,18446744071585206753
3245,91375622,6,18446744071585235885,2,18446744071585940641
839,506051590,6,18446744071585941380,2,18446744071585940667
12493,527164422,6,18446744071585238231,2,18446744071585240305
12771,220838922,10,18446744071585962381,2,18446744071586050415
12771,16257034,10,18446744071585962422,2,18446744071586050415
4502,342466566,6,18446744071579996161,2,18446744071586063008
7447,60154900,20,140116305102515,2,140116306629867
1869,510781446,6,18446744071585930897,2,18446744071585932135
1307,320371718,6,18446744071580747201,2,18446744071579421103
