ctxkey,pattern,histlen,pc,bw,bctx
6301,503933958,6,18446744071585235171,2,18446744071585220833
9169,472460298,10,18446744071585153391,2,18446744071580404403
14339,124402697,9,18446744071585238902,2,18446744071585206753
14263,187936777,9,18446744071585216586,2,18446744071585240181
14339,492963846,6,18446744071585239070,2,18446744071585206753
6419,445376518,6,18446744071585233151,2,18446744071585234043
9358,163209222,6,18446744071585220594,2,18446744071585220412
3245,300454922,10,18446744071585235885,2,18446744071585940641
12771,67245062,6,18446744071585962422,2,18446744071586050415
8196,453203977,9,18446744071585216450,2,18446744071585239286
11164,337358854,6,18446744071585206929,2,18446744071585220670
6918,404951046,6,18446744071586061922,2,18446744071585932084
3477,151531530,10,18446744071586052466,64,18446744071585962323
896,16254985,9,18446744071585352945,2,18446744071579996234
11091,102817802,10,18446744071585929901,2,18446744071585930265
12771,512343049,9,18446744071585962381,2,18446744071586050415
50,344698890,10,18446744071579221125,2,18446744071583818938
3904,227550214,6,18446744071585235209,2,18446744071585234558
11275,353567750,6,18446744071585223166,2,18446744071585220663
12771,456183817,9,18446744071585962404,2,18446744071586050415
12075,109157382,6,18446744071585854574,2,18446744071585554503
7415,511195142,6,18446744071585234689,2,18446744071585233311
14339,429044746,10,18446744071585238662,2,18446744071585206753
12771,202522630,6,18446744071585962471,2,18446744071586050415
11448,133876745,9,18446744071585854574,2,18446744071585930226
10818,394843142,6,18446744071585234166,2,18446744071585206964
14558,516511753,9,18446744071585940609,2,18446744071585941110
1701,175772682,10,18446744071585233101,2,18446744071585233935
15765,326767622,6,18446744071586062593,64,18446744071586062488
12493,466877450,10,18446744071585238196,2,18446744071585240305
11448,317272070,6,18446744071585855408,2,18446744071585930226
12552,50888710,6,18446744071579996219,2,18446744071585948364
1869,348236806,6,18446744071585930808,2,18446744071585932135
11381,196712457,9,18446744071585950162,2,18446744071585948623
1869,232346630,6,18446744071585930741,2,18446744071585932135
11448,536518665,9,18446744071585854490,2,18446744071585930226
12493,275425286,6,18446744071585238343,2,18446744071585240305
1869,149624838,6,18446744071585930775,2,18446744071585932135
3748,123825161,9,18446744071586062361,2,18446744071586050974
772,403765254,6,18446744071585947965,2,18446744071589333584
12075,297349130,10,18446744071585855408,2,18446744071585554503
7198,69643278,14,18446744071585947909,2,18446744071579996116
6590,447450118,6,18446744071585234487,2,18446744071585234134
11781,122234890,10,18446744071585240198,2,18446744071585931781
7126,473530377,9,18446744071585236979,2,18446744071585206946
6130,476168198,6,18446744071585151270,2,18446744071589333584
1053,195713030,6,18446744071586916096,2,18446744071579421087
1869,410705929,9,18446744071585930930,2,18446744071585932135
6073,65005581,13,18446744071585948373,2,18446744071579994597
2495,171446278,6,18446744071585948507,2,18446744071585941015
4215,360817670,6,18446744071583818769,2,18446744071585206913
13570,194054150,6,18446744071585941458,2,18446744071585852664
7232,96537606,6,18446744071585947741,2,18446744071589333984
12493,275363850,10,18446744071585238417,2,18446744071585240305
6167,60317702,6,139997900248359,2,139997905227957
12156,324112393,9,18446744071580403571,2,18446744071580403432
10852,147343366,6,18446744071585352970,2,18446744071585352960
14392,363971597,13,18446744071585930254,2,18446744071585852664
896,383848457,9,18446744071585353245,2,18446744071579996234
1120,130030602,10,18446744071585949636,2,18446744071585942018
14339,24232966,6,18446744071585238620,2,18446744071585206753
8316,68929545,9,18446744071580257555,2,18446744071580083264
1057,8069126,6,18446744071585236728,2,18446744071585234603
14339,200835078,6,18446744071585238983,2,18446744071585206753
806,165340166,6,18446744071585950216,2,18446744071589333584
12523,175151110,6,18446744071585234057,2,18446744071585234261
11091,179854342,6,18446744071585929530,2,18446744071585930265
5600,120672265,9,18446744071585239556,2,18446744071585216442
3904,156880902,6,18446744071585235234,2,18446744071585234558
2454,435212294,6,18446744071586050943,2,18446744071586089646
12107,60029962,10,18446744071580403320,2,18446744071580403311
839,506051590,6,18446744071585941380,2,18446744071585940667
10529,435219468,12,18446744071585429774,2,18446744071585235323
6419,294615054,14,18446744071585233291,2,18446744071585234043
1067,71482374,6,18446744071580408428,2,18446744071580402587
9358,483996678,6,18446744071585220458,2,18446744071585220412
9312,307887110,6,18446744071585941317,2,18446744071585948670
11781,387072006,6,18446744071585240136,2,18446744071585931781
4502,122382346,10,18446744071579996161,2,18446744071586063008
3052,244410374,6,18446744071585233811,2,18446744071585216894
3215,273260550,6,139997553003814,2,139997549327147
5242,274864138,10,18446744071580408531,2,18446744071585165976
15295,205533216,32,139997552209265,2,139997550749375
