ctxkey,pattern,histlen,pc,bw,bctx
2717,252352522,10,350272096,2,354623667
2620,165333028,36,350871010,2,350870562
3023,104576006,6,351607235,2,140104762769027
10217,375845920,32,355372371,2,355372407
837,487172116,20,353137571,2,353137441
6033,272466959,15,355413247,2,359147305
9746,145836042,10,351607258,2,351607128
5700,32137252,36,355372537,64,355372445
1684,526757907,19,350835938,2,350562356
16255,518355996,28,350745697,64,355372603
10977,486749210,26,350746498,2,350749081
2637,198274084,36,352784040,2,350562039
3475,72735757,13,355413701,2,355413331
8275,163379232,32,350562622,2,355337537
9584,356672518,6,352785111,2,344704716
8588,375065614,14,350838044,2,350736254
9196,254411786,10,353031809,2,356125754
2620,37097500,28,350871010,2,350870562
9499,402905090,2,351794416,2,351768351
8427,357074968,24,353555958,2,347447883
2575,436935692,12,355451899,2,351550621
2173,261667864,24,350763039,2,350763051
1566,196086794,10,351936453,2,350688556
10977,166388772,36,350746498,2,350749081
9884,15794186,10,363907978,2,350843124
11577,77595650,2,352298756,2,352298485
2637,89908238,14,352786641,2,350562039
16255,197530660,36,350745697,64,355372603
13894,11957267,19,350804115,2,356125774
8427,310208529,17,353555958,2,347447883
1732,327710746,26,350562334,2,356119144
10799,161216526,14,350870261,2,355706407
6002,329119758,14,352979844,2,345244102
7424,432273410,2,352840866,2,356096406
10977,374667296,32,350746498,2,350749081
5764,399885348,36,355706545,2,355707544
6155,6169632,32,355340599,2,355340937
6460,453828623,15,351657025,2,140104763110684
3842,191064070,6,352682808,2,352682522
5728,157959179,11,351649038,2,351613126
9584,264342530,2,352784908,2,344704716
9183,223994894,14,351648642,2,351607379
7766,425784334,14,352787287,2,350596318
14495,444167177,9,354222831,2,354217821
2010,419667970,2,351543712,2,351724190
10764,83221532,28,350871202,2,355706372
12683,91841551,15,350596196,2,352987199
10809,122184713,9,344895757,2,352979039
5622,472074242,2,354240937,2,344704716
13138,437253133,13,351619612,2,781383184
13896,400176146,18,140104763036370,2,351657072
15602,432450586,26,354089354,2,350562356
8890,470719502,14,351553907,2,356119120
13896,207610896,16,140104763036302,2,351657072
6460,294869010,18,351656501,2,140104763110684
9797,337013788,28,353363933,2,350562635
16140,64102410,10,345243852,2,781382800
1684,442912790,22,350835938,2,350562356
11641,94101517,13,355719915,2,355720025
7424,102250498,2,352793426,2,356096406
11682,195366926,14,350882714,2,355719952
9884,281235471,15,363907978,2,350843124
16293,287839245,13,351566889,2,351567807
3086,476136450,2,353515012,2,353516494
2869,480373770,10,352978262,2,140104761664021
2173,359382037,21,350763039,2,350763051
8427,437247002,26,353555958,2,347447883
5134,373856278,22,352998118,2,356096406
13894,306615317,21,350804127,2,356125774
11219,122366982,6,352786024,2,352786013
4577,286376962,2,353514276,2,353496025
10217,163657764,36,355372371,2,355372407
6460,301165587,19,351562504,2,140104763110684
2576,337771530,10,352978304,2,345244102
15508,529633306,26,352988022,2,352988044
11340,237612038,6,363910488,2,350856244
2173,12858404,36,350763019,2,350763051
6460,217624600,24,351562504,2,140104763110684
5855,300139552,32,353034287,2,350562635
1684,271106066,18,350835938,2,350562356
2637,200414244,36,352785622,2,350562039
5764,243563546,26,355706545,2,355707544
13752,327710746,26,350562334,2,356119120
9920,514525193,9,351553507,2,356119120
449,377044998,6,345243852,2,352978411
14588,253096984,24,350841859,2,350838930
15225,226619428,36,355372371,64,350745838
6460,256089104,16,351656057,2,140104763110684
11031,366089230,14,350744258,2,350562041
3507,136155154,18,355452313,2,351615643
5728,428598285,13,351648988,2,351613126
5365,189783055,15,351649366,2,351794553
16255,463012892,28,350745697,64,355372603
6153,67339292,28,352784040,2,352786013
3475,432400397,13,355413325,2,355413331
2646,352870419,19,351604043,2,140104762769178
16140,210270218,10,345244003,2,781382800
4763,398467081,9,353040379,2,363827045
804,72504333,13,351191151,2,345244102
15483,411468836,36,352784659,2,352786013
13754,12833804,12,350744283,2,355413788
2575,312155150,14,355451785,2,351550621
10248,471136284,28,350562622,2,350596314
1684,509939738,26,350835938,2,350562356
5349,409842720,32,350749110,2,355372555
75,521354250,10,350732674,2,350733009
12328,347259910,6,350562023,2,352983864
11200,330698770,18,351653700,2,781383184
14939,471136284,28,350562622,2,350562635
669,162957331,19,353137571,2,353137441
8427,7352342,22,353555958,2,347447883
13880,203270157,13,353653405,2,353653868
11031,413201424,16,350744758,2,350562041
8726,17254415,15,350839598,2,353654274
6293,494951433,9,351640801,2,344763969
6293,410203142,6,351640789,2,344763969
8726,208208902,6,350840377,2,353654274
5709,342730780,28,350750466,2,355372407
6293,49338374,6,351640745,2,344763969
2173,180353042,18,350763006,2,350763051
5709,507336728,24,350750466,2,355372407
16024,95078409,9,352988813,2,350562090
11577,16847874,2,352298756,2,352298485
9196,512885762,2,353031809,2,356125754
13163,112523280,16,355413247,2,355413331
2548,346114059,11,355848159,2,353654464
1844,220824582,6,351650900,2,351650540
6002,219229195,11,352979844,2,345244102
3277,133883922,18,351648720,2,351648741
1460,358843402,10,351567862,2,351567118
13138,491648026,26,351619102,2,781383184
10091,434813964,12,350776184,2,350770191
3702,351827996,28,350562334,2,353069782
1726,324455440,16,355541235,2,350562090
7246,400781324,12,344895757,2,352979802
4763,527252502,22,353040379,2,363827045
16293,132304908,12,351566877,2,351567807
9797,196949028,36,353363933,2,350562635
16293,459830282,10,351567742,2,351567807
6588,385884174,14,350562095,2,351553758
6832,342312978,18,352222526,2,140104761913552
3130,266441742,14,351550590,2,351648660
3390,162292751,15,351798308,2,351798296
15666,108204044,12,351798403,2,351794434
6002,135879694,14,352979844,2,345244102
2173,340739090,18,350763019,2,350763051
10826,459066404,36,350870628,2,355706372
1679,419362832,16,350838763,2,350838633
2873,214426638,14,350596259,2,353489549
13894,13505555,19,350804127,2,356125774
5900,123282456,24,351614782,2,351648660
11068,21107729,17,351768004,2,351794434
520,431549450,10,365934583,2,781382960
6569,321852432,16,350839262,2,355846975
8684,218232845,13,351835498,2,351835914
1140,140683273,9,351802730,2,351590100
2646,308554772,20,351606077,2,140104762769178
2548,119698442,10,355848309,2,353654464
3113,184126466,2,352976985,2,356119379
6153,368693280,32,352784040,2,352786013
520,474686470,6,365934757,2,781382960
1684,123136017,17,350835950,2,350562356
10538,511914012,28,353422751,64,353422766
7424,301033489,17,352793426,2,356096406
7490,258755601,17,352976131,2,352975844
520,244322317,13,354098408,2,781382960
6293,425813006,14,351640773,2,344763969
2873,256015370,10,350596231,2,353489549
3842,49478658,2,352682707,2,352682522
13325,397188117,21,355413831,2,355413675
10873,23272459,11,351794513,2,351612905
5392,492956674,2,352995840,2,344704716
1679,529742867,19,350838248,2,350838633
2828,245124109,13,350829686,2,350829770
520,426464265,9,365934740,2,781382960
8427,334727177,9,353555958,2,347447883
750,520151049,9,350770434,2,350776190
9751,301123586,2,345243852,2,344895743
8061,394459146,10,350747392,2,360960297
8061,12470286,14,350746864,2,360960297
2637,459845638,6,352785126,2,350562039
11578,252060685,13,351777353,2,351777208
10977,387094554,26,350746498,2,350749081
3968,312701962,10,350839598,2,350837996
10459,37260302,14,351607332,2,351607933
7424,122890255,15,352793407,2,356096406
13752,239630360,24,350562334,2,356119120
3670,107322386,18,355541245,2,350747706
13325,201657363,19,355413831,2,355413675
2548,85200914,18,355848122,2,353654464
10799,524815378,18,350870040,2,355706407
7116,301478921,9,351779121,2,351777268
3794,471314446,14,351376406,2,351785552
6002,421070859,11,352979844,2,345244102
8140,79774730,10,350562076,2,350750824
3917,323708939,11,344996152,2,344996177
14340,473555994,26,350835950,2,350836560
4493,21432334,14,361208180,2,355575269
11123,167186460,28,350735075,2,355706611
2021,517672969,9,355918716,2,350833945
1684,280852496,16,350835938,2,350562356
2021,262672396,12,355918679,2,350833945
7116,339895302,6,355541208,2,350751698
2021,336705542,6,355918812,2,350833945
2173,26410002,18,350763039,2,350763051
5931,423182346,10,355918691,2,350833945
7116,502421514,10,351779003,2,351777268
14054,517734413,13,345243857,2,350743990
5100,328427529,9,355438211,2,355438244
555,155351056,16,350761377,2,350770391
13052,259774466,2,353217436,2,353217352
8427,237839373,13,353555958,2,347447883
5931,10597382,6,355918763,2,350833945
242,266013705,9,351418633,2,356119120
5931,277390347,11,355917641,2,350833945
5931,151192586,10,355917551,2,350833945
12216,532812812,12,353654505,2,350736254
2303,286185487,15,351607650,2,356119379
6960,367000612,36,355191289,64,350562053
8083,460365830,6,351648642,2,351794545
4708,398051342,14,351951370,2,355438380
15483,187985948,28,352784659,2,352786013
5931,317886474,10,355917566,2,350833945
11031,317267994,26,350744730,2,350562041
5144,418849806,14,350833912,2,350834218
11477,380150794,10,351553907,2,351553653
11577,177455110,6,352298728,2,352298485
11020,269627403,11,350729976,2,344704716
9883,287646734,14,140104762769014,2,140104763039353
